cod_depto|departamento|region
5|ANTIOQUIA|Andina
8|ATLANTICO|Caribe
11|BOGOTA D.C.|Andina
13|BOLIVAR|Caribe
15|BOYACA|Andina
17|CALDAS|Andina
18|CAQUETA|Amazonia
19|CAUCA|Andina
20|CESAR|Caribe
23|CORDOBA|Caribe
25|CUNDINAMARCA|Andina
27|CHOCO|Pacifico
41|HUILA|Andina
44|LA GUAJIRA|Caribe
47|MAGDALENA|Caribe
50|META|Orinoquia
52|NARIÑO|Andina
54|NORTE DE SANTANDER|Andina
63|QUINDIO|Andina
66|RISARALDA|Andina
68|SANTANDER|Andina
70|SUCRE|Caribe
73|TOLIMA|Andina
76|VALLE DEL CAUCA|Pacifico
81|ARAUCA|Orinoquia
85|CASANARE|Orinoquia
86|PUTUMAYO|Amazonia
88|SAN ANDRES ISLAS|Caribe
91|AMAZONAS|Amazonia
94|GUAINIA|Amazonia
